<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CCC,D,20110412,000000,50.393,50.998,49.787,50.998,9101,0
CCC,D,20110413,000000,50.998,50.998,50.911,50.998,8228,0
CCC,D,20110414,000000,50.955,51.171,50.566,51.171,36253,0
CCC,D,20110415,000000,51.43,51.951,51.171,51.519,59736,0
CCC,D,20110418,000000,51.519,52.081,51.519,51.951,164198,0
CCC,D,20110419,000000,52.427,52.817,51.951,51.951,11327,0
CCC,D,20110420,000000,51.647,53.682,51.606,51.951,19812,0
CCC,D,20110421,000000,51.951,52.73,51.606,51.606,18535,0
CCC,D,20110426,000000,50.738,51.951,50.695,51.43,12469,0
CCC,D,20110427,000000,51.43,51.43,50.782,51.43,5359,0
CCC,D,20110428,000000,50.782,51.951,50.782,51.086,27156,0
CCC,D,20110429,000000,51.087,51.087,51.042,51.087,10998,0
CCC,D,20110502,000000,50.998,51.086,50.998,51.086,384,0
CCC,D,20110504,000000,50.998,51.951,50.998,51.519,2757,0
CCC,D,20110505,000000,51.951,51.951,51.43,51.519,143635,0
CCC,D,20110506,000000,51.519,51.519,51.519,51.519,721,0
CCC,D,20110509,000000,51.519,52.817,51.519,52.817,4120,0
CCC,D,20110510,000000,51.951,52.99,51.086,51.086,28971,0
CCC,D,20110511,000000,49.917,51.086,49.917,51.086,4799,0
CCC,D,20110512,000000,50.263,51.086,49.787,51.043,8142,0
CCC,D,20110513,000000,50.998,50.998,50.566,50.652,51290,0
CCC,D,20110516,000000,50.393,50.393,48.922,49.787,40642,0
CCC,D,20110517,000000,49.701,50.955,49.701,50.955,531,0
CCC,D,20110518,000000,50.955,50.955,49.787,50.478,904,0
CCC,D,20110519,000000,50.22,50.478,50.22,50.478,116,0
CCC,D,20110520,000000,49.829,50.652,49.052,50.652,52698,0
CCC,D,20110523,000000,51.475,51.519,50.523,51.519,363,0
CCC,D,20110524,000000,50.652,50.652,50.652,50.652,2421,0
CCC,D,20110525,000000,50.22,50.22,49.354,49.354,13555,0
CCC,D,20110526,000000,49.527,49.527,48.487,49.354,5593,0
CCC,D,20110527,000000,49.354,50.652,49.354,49.787,828,0
CCC,D,20110530,000000,49.744,49.959,48.661,49.354,19116,0
CCC,D,20110531,000000,48.879,49.355,48.484,49.31,27219,0
CCC,D,20110601,000000,48.922,49.223,48.487,48.576,22571,0
CCC,D,20110602,000000,49.354,50.738,49.179,50.652,58682,0
CCC,D,20110603,000000,50.652,52.817,50.652,51.647,2079,0
CCC,D,20110606,000000,50.738,51.908,50.738,51.908,4925,0
